HHLDNO,CERTMTH,RAWBEN,EXPEDSER,FSMEDEXP,FSDEPDED,RAWNET,SUA1,SUA2,FSCSEXP,RENT,SHELDED,ALLADJ,AMTADJ,REP_SYS,CTPRHH,FSCSDED,RAWGROSS,RAWERND,FSMEDDED,UTIL,FSNDISCA,FSNDIS,LASTCERT,BENFIX,FSUSIZE,BENMAX,MINIMUM_BEN,FSNKID,FSERNDED,FSSLTDED,FSSTDDED,FSTOTDED,SHELCAP,NONCIT_HEAD,COMPOSITION,MED_DED_DEMO,ERN_INC_DED_PCT,FSSLTEXP,NETSCRN,GROSSCRN,,,,,FSOTHERN,FSSLFEMP,FSWAGES,FSCSUPRT,FSTANF,FSCONT,FSDEEM,FSOTHGOV,FSOTHUN,FSSOCSEC,FSEDLOAN,FSGA,FSUNEMP,FSVET,FSWCOMP,FSDIVER,FSSSI,FSWGESUP,FSENERGY,FSEITC,FSFOSTER,TANF_IND,FSEARN,FSUNEARN,FSGRINC,EXCL_FSCSDED,TPOV,WRK_POOR,FSNETINC,FSBEN,FSMINBEN,SSI_CAP,FSSTDDE2,FSERNDE2,FSDEPDE2,FSMEDDE2,FSSLTDE2,FSTOTDE2,PURE_PA,ASSLIM,FSASTEST,FSGRTEST,FSNETEST,FSBENSUPP,SUPP_BEN,FSNONCIT,FSDIS,FSELDER,FSKID,HH_Member__AGE1,HH_SEX,HH_RACE,HH_FSAFIL,HH_CTZN,HH_YRSED,HH_EMPRG,HH_EMPSTA,HH_EMPSTB,HH_WAGES,HH_SLFEMP,HH_EITC,HH_OTHERN,HH_SOCSEC,HH_VET,HH_SSI,HH_UNEMP,HH_WCOMP,HH_OTHGOV,HH_WRKREG,HH_ABWDST,HH_NDISCA,HH_WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,12,281,Entitled to expedited service and received benefits within Federal time frame,0,0,0,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),1,0,0,0,0,0,1,0,0,281,1,281,23,0,0,0,193,193,624,Head of unit is a citizen,No children,0,0.1999999285,0,1133,1473,QuickFix Phone Repair,987 Leonard St,Grand Rapids,49510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,Not in SSI-CAP,0,0,0,0,0,0,0,2750,1,1,1,95,1,0,0,0,0,18,Male,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,Work registrant,Exempt based on discretionary exemption,Adult without a disability in childless unit within the age range subject to time limits,0,9549 Van Buren Dr,Fraser,MI,49853,Joseph,Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,
361,12,281,Entitled to expedited service and received benefits within Federal time frame,0,0,0,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),1,0,119,24,0,0,1,0,3,281,1,281,23,0,23,0,193,216,624,Head of unit is a citizen,No children,0,0.1999999285,0,1133,1473,Neighborhood Thrift,198 Bridge St,Grand Rapids,49511,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,119,0,11,1,0,281,0,Not in SSI-CAP,96,0,0,0,0,119,0,2750,1,1,1,95,1,0,0,0,0,19,Male,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,Grade 11,Participating in non-SNAP E&T (such as TANF),Employed by other,1â€“19 hours/week,119,0,0,0,0,0,0,0,0,0,Work registrant,ABAWD in a waived area,Adult without a disability in childless unit within the age range subject to time limits,1,596 Willow Ter,Allen Park,MI,48961,Eli,Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,
362,36,164,Not entitled to expedited service,0,0,1308,No utilities and no LIHEAA assistance,Not prorated,0,1350,464,No adjustment,0,Other,1,0,1965,0,0,0,0,0,5,23,1,281,23,0,0,464,193,657,624,Head of unit is a citizen,No children,0,0.1999999285,1350,1133,1473,Metro Transit Cleaning,209 Market Ave,Grand Rapids,49512,0,0,0,0,0,0,0,0,0,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,1965,0,173,0,1308,23,1,Not in SSI-CAP,289,0,0,0,464,657,0,4250,1,1,0,258,1,0,0,1,0,63,Male,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1965,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,4112 University Ct,Mount Pleasant,MI,49409,Henry,Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
363,36,281,Not entitled to expedited service,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,447,949,No adjustment,0,Other,1,0,1289,258,0,921,0,0,0,281,1,281,23,0,257,949,193,1399,624,Head of unit is a citizen,No children,0,0.1999999285,1368,1133,1473,RoadRunner Delivery,310 Saginaw St,Lansing,48906,0,0,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289,0,1289,0,114,1,0,281,0,Not in SSI-CAP,180,276,0,0,839,1289,0,4250,1,1,1,95,1,0,0,1,0,60,Female,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Employed by other,1â€“19 hours/week,1289,0,0,0,0,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),1,1081 Lincoln Pl,Mackinaw City,MI,49559,Mila,Young,,,,,,,,,,,,,,,,,,,,,,,,,,
365,36,281,Not entitled to expedited service,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,0,921,No adjustment,0,Other,1,0,0,0,0,921,0,0,10,281,1,281,23,0,0,921,193,1114,624,Head of unit is a participating noncitizen,No children,0,0.1999999285,921,1133,1473,Daily Scoop Ice Cream,421 Michigan Ave,Lansing,48910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,Not in SSI-CAP,0,0,0,0,0,0,0,4250,1,1,1,95,1,1,0,1,0,63,Female,Asian,Eligible member of SNAP case under review and entitled to receive benefits,"Legal permanent resident with 40 quarters of work, military service, five years legal U.S. residency, disability, or under age 18",NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,3442 Riverview Way,Pontiac,MI,49091,Reagan,Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,
366,12,566,Entitled to expedited service and received benefits within Federal time frame,0,0,578,No utilities and no LIHEAA assistance,Not prorated,0,50,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),3,0,771,0,0,0,0,0,10,566,3,740,23,2,0,0,193,193,624,Head of unit is a participating noncitizen,Child(ren) and one female adult,0,0.1999999285,50,1920,2495,Downtown Parking Services,865 Washington Ave,Lansing,48914,0,0,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,771,771,0,40,0,578,566,0,Not in SSI-CAP,193,0,0,0,0,193,1,2750,1,1,1,174,1,2,0,0,1,44,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,"Legal permanent resident with 40 quarters of work, military service, five years legal U.S. residency, disability, or under age 18",High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,9546 Grant Ln,Warren,MI,49300,Nora,Young,,,,,,,Autumn,Young,17,David,Young,2,,,,,,,,,,,,,,
367,36,23,Not entitled to expedited service,0,0,6517,No utilities and no LIHEAA assistance,Not prorated,0,1504,0,No adjustment,0,Other,1,0,6710,0,0,0,0,1,5,23,1,281,23,0,0,0,193,193,624,Head of unit is a citizen,No children,0,0.1999999285,1504,1133,1473,ValueChoice Furniture,532 Cedar St,Lansing,48911,0,0,0,0,0,0,0,0,0,2130,0,4580,0,0,0,0,0,0,0,0,0,0,0,6710,6710,0,592,0,6517,23,1,Not in SSI-CAP,193,0,0,0,0,193,1,4250,1,1,0,258,1,0,1,0,0,56,Male,Racial/ethnic data not available because application was not found,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,2130,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,5331 Depot Rd,Grosse Pointe,MI,48497,Ethan,Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
368,12,625,Not entitled to expedited service,0,0,311,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,840,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),5,0,1410,282,0,921,0,0,2,646,3,740,23,3,282,624,193,1099,624,Head of unit is a nonparticipating noncitizen,Child(ren) only,0,0.1999999285,1761,1920,2495,SunnySide Assisted Living,754 Jolly Rd,Lansing,48913,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,1410,0,73,1,311,646,0,Not in SSI-CAP,193,282,0,0,624,1099,0,2750,1,1,1,95,1,0,0,0,1,29,Female,Not recorded on application,Member is ineligible noncitizen and not participating in State-funded SNAP,Undocumented noncitizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, other",Ineligible householder,NA,NA,7032 Roosevelt Ter,Berkley,MI,48691,Aria,Nelson,,,,,,,Ariana,Nelson,1,Andrew,Nelson,2,Claire,Nelson,15,,,,,,,,,,,
369,12,164,Not entitled to expedited service,0,0,1483,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),2,0,2428,486,0,0,0,0,5,71,2,516,23,1,485,0,193,678,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,0,1526,1984,QuickServe Catering,309 Cedar St,Lansing,48918,0,0,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2428,0,2428,0,159,1,1750,23,1,Not in SSI-CAP,193,485,0,0,0,678,0,2750,1,0,0,493,1,0,0,0,1,28,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,College graduate or postgraduate degree,Not participating in E&T,Employed by other,30â€“39 hours/week,2428,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,4626 Aspen St,Manistee,MI,48610,Evelyn,Jackson,,,,,,,Benjamin,Jackson,2,,,,,,,,,,,,,,,,,
370,12,281,Entitled to expedited service and received benefits within Federal time frame,0,0,0,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),1,0,0,0,0,0,1,0,1,281,1,281,23,0,0,0,193,193,624,Head of unit is a citizen,No children,0,0.1999999285,0,1133,1473,QuickCare Clinic Desk,643 Kalamazoo St,Lansing,48912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,Not in SSI-CAP,0,0,0,0,0,0,0,2750,1,1,1,95,1,0,0,0,0,27,Male,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,Work registrant,ABAWD in a waived area,Adult without a disability in childless unit within the age range subject to time limits,0,6170 Poplar Ter,Wyoming,MI,49030,Xavier,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
372,12,281,Entitled to expedited service and received benefits within Federal time frame,0,0,0,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),1,0,0,0,0,0,1,0,8,281,1,281,23,0,0,0,193,193,624,Head of unit is a citizen,No children,0,0.1999999285,0,1133,1473,SunnySide Assisted Living,754 Jolly Rd,Lansing,48913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,Not in SSI-CAP,0,0,0,0,0,0,0,2750,1,1,1,95,1,0,0,0,0,33,Male,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,Work registrant,ABAWD in a waived area,Adult without a disability in childless unit within the age range subject to time limits,0,7742 Jefferson Ln,Alpena,MI,48718,Levi,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
373,36,122,Not entitled to expedited service,0,0,511,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,290,0,No adjustment,0,Other,1,0,1341,0,0,921,0,0,29,127,1,281,23,0,0,637,193,830,624,Head of unit is a citizen,No children,0,0.1999999285,1211,1133,1473,Downtown Parking Services,865 Washington Ave,Lansing,48914,0,0,0,0,0,0,0,0,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,1341,1341,0,118,0,511,127,0,Not in SSI-CAP,289,0,0,0,637,830,0,4250,1,1,1,154,1,0,0,1,0,71,Female,Not recorded on application,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1341,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,1686 Cedar Ln,Grosse Pointe Farms,MI,49953,Lucy,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
374,12,184,Not entitled to expedited service,0,0,1159,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,505,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),2,0,2395,479,0,921,0,0,3,168,2,516,23,1,479,565,193,1237,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,1426,1526,1984,ValueTech Assembly,410 Industrial Dr,Flint,48502,0,0,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2395,0,2395,0,157,1,1158,168,0,Not in SSI-CAP,290,719,0,0,565,1237,0,2750,1,0,1,348,1,0,0,0,1,23,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Employed by other,1â€“19 hours/week,2395,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,4054 Depot Ct,Greenville,MI,49797,Emilia,Murphy,,,,,,,Carol,Murphy,3,,,,,,,,,,,,,,,,,
375,12,796,Not entitled to expedited service,0,0,750,Uses higher standard based on LIHEAA assistance,Not prorated,0,627,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),4,0,1909,342,0,921,0,0,9,714,4,939,23,2,341,624,193,1158,624,Head of unit is a citizen,Child(ren) with other multiple adults,0,0.1999999285,1548,2313,3007,Happy Paws Pet Care,357 Gratiot Ave,Detroit,48206,0,0,1709,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709,200,1909,0,83,1,751,713,0,Not in SSI-CAP,193,341,0,0,624,1158,0,2750,1,1,1,226,1,0,0,0,1,40,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Employed by other,20â€“29 hours/week,1709,0,0,0,0,0,0,0,0,0,Work registrant,Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,1031 Poplar Ave,Saginaw,MI,48276,Allison,Morales,Nora,Scott,28,,,,Grayson,Morales,4,Avery,Scott,14,,,,,,,,,,,,,,
376,36,281,Not entitled to expedited service,0,0,0,Uses higher standard based on LIHEAA assistance,Not prorated,0,350,901,No adjustment,0,Other,1,0,934,0,0,921,0,1,20,281,1,281,23,0,0,901,193,1094,624,Head of unit is a citizen,No children,0,0.1999999285,1271,1133,1473,BrightSmile Dental Front Desk,976 Oakland Ave,Lansing,48915,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,623,0,0,0,0,0,0,934,934,0,82,0,0,281,0,Not in SSI-CAP,130,0,0,0,741,934,1,4250,1,1,1,95,1,0,1,0,0,27,Female,(Hispanic or Latino) and White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,311,0,623,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,4167 Lincoln Rd,Tecumseh,MI,49024,Aaliyah,Brown,,,,,,,,,,,,,,,,,,,,,,,,,Lease Ends Next Month,
378,12,600,Entitled to expedited service and received benefits within Federal time frame,0,0,464,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,1225,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),3,0,1281,0,0,921,3,0,NA,600,3,740,23,0,0,624,193,817,624,Head of unit is a citizen,No children,0,0.1999999285,2146,1920,2495,Parkside Movie Theater,657 Plymouth Rd,Ann Arbor,48109,0,0,0,0,0,0,0,0,0,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,1281,1281,0,67,0,464,600,0,Not in SSI-CAP,193,0,0,0,624,817,0,2750,1,1,1,140,1,0,0,0,0,44,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,Naturalized citizen,NA,Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,Work registrant,ABAWD in a waived area,Adult without a disability in childless unit within the age range subject to time limits,0,3924 Van Buren Way,Clarkston,MI,48654,Vivian,White,Victoria,Harris,28,Christian,Williamson,32,,,,,,,,,,,,,,,,,,,,
380,36,23,Not entitled to expedited service,0,0,1771,Uses higher standard based on LIHEAA assistance,Not prorated,0,600,424,No adjustment,0,Other,2,0,2388,0,0,921,0,0,23,23,2,516,23,0,0,424,193,617,624,Head of unit is a citizen,No children,0,0.1999999285,1521,1526,1984,QuickCare Clinic Desk,643 Kalamazoo St,Lansing,48912,0,0,0,0,0,0,0,0,297,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,2388,2388,0,156,0,1771,23,1,Not in SSI-CAP,290,0,0,0,424,617,0,4250,1,1,0,493,1,0,0,1,0,83,Male,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1167,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,4020 Station Blvd,Southgate,MI,49701,Sebastian,Jackson,Autumn,Gupta,28,,,,,,,,,,,,,,,,,,,,,,,
381,36,187,Not entitled to expedited service,130,0,359,Uses higher standard based on LIHEAA assistance,Not prorated,0,600,895,No adjustment,0,Other,1,0,1576,0,130,921,0,0,3,173,1,281,23,0,0,895,193,1218,624,Head of unit is a citizen,No children,0,0.1999999285,1521,1133,1473,Starbucks,187 Holmes St,Lansing,48916,0,0,0,0,0,0,0,0,0,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,1576,1576,0,139,0,358,173,0,Not in SSI-CAP,290,0,0,195,895,1218,0,4250,1,1,1,108,1,0,0,1,0,66,Male,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,"Postsecondary education (for example, technical education or some college)",Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1576,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,2710 Willow Ter,Cadillac,MI,49539,Ryan,Allen,,,,,,,,,,,,,,,,,,,,,,,,,More than 50% of income from tips,
382,36,224,Not entitled to expedited service,0,0,162,Uses higher standard based on LIHEAA assistance,Not prorated,0,306,764,No adjustment,0,Other,1,0,1119,0,0,921,0,0,28,232,1,281,23,0,0,764,193,957,624,Head of unit is a citizen,No children,0,0.1999999285,1227,1133,1473,BudgetPrint Copy Shop,298 Turner St,Lansing,48917,0,0,0,0,0,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,1119,0,99,0,162,232,0,Not in SSI-CAP,289,0,0,0,764,957,0,4250,1,1,1,95,1,0,0,1,0,73,Female,Black or African American,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,1119,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,8248 Oak Ave,Grosse Pointe Park,MI,49658,Vivian,Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,
383,12,208,Not entitled to expedited service,0,0,1025,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,800,624,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),2,0,2302,461,0,921,0,0,10,208,2,516,23,1,460,624,193,1277,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,1721,1526,1984,Neighborhood Hardware Plus,521 Dort Hwy,Flint,48503,0,0,2302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302,0,2302,0,151,1,1025,208,0,Not in SSI-CAP,193,460,0,0,624,1277,0,2750,1,0,1,308,1,0,0,0,1,48,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,Employed by other,30â€“39 hours/week,2302,0,0,0,0,0,0,0,0,0,"Federal exemption, working and/or earning the equivalent of 30 hours per week",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,4037 College Pl,Plymouth,MI,49557,Paisley,Parker,,,,,,,Albert,Parker,4,,,,,,,,,,,,,,,,,
384,36,281,Not entitled to expedited service,0,0,161,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,0,561,No adjustment,0,Other,1,0,914,0,0,921,0,1,22,232,1,281,23,0,0,561,193,754,624,Head of unit is a citizen,No children,0,0.1999999285,921,1133,1473,QuickServe Catering,309 Cedar St,Lansing,48918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,914,914,0,81,0,160,233,0,Not in SSI-CAP,290,0,0,0,561,754,1,4250,1,1,1,95,1,0,1,0,0,42,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,914,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,4044 Roosevelt Way,Portage,MI,48106,Margaret,Baker,,,,,,,,,,,,,,,,,,,,,,,,,,
385,12,516,Not entitled to expedited service,0,0,0,No utilities and no LIHEAA assistance,Not prorated,0,0,0,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),2,0,0,0,0,0,0,0,11,516,2,516,23,1,0,0,193,193,624,Head of unit is a citizen,Child(ren) and one female adult,0,0.1999999285,0,1526,1984,SpeedMart Fuel Center,632 Fenton Rd,Flint,48504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,Not in SSI-CAP,0,0,0,0,0,0,0,2750,1,1,1,95,1,0,0,0,1,35,Female,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, care of a child under 6 or an incapacitated person",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,382 Washington Ln,East Lansing,MI,49288,Ayla,Roberts,,,,,,,Audrey,Roberts,5,,,,,,,,,,,,,,,,,
386,12,91,Not entitled to expedited service,0,0,2823,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,3607,624,Other adjustment,10,Simplified reporting (exceeding 130% of income poverty guidelines),4,0,4288,647,0,921,0,0,1,101,4,939,23,1,647,624,193,1464,624,Head of unit is a citizen,Child(ren) with other multiple adults,0,0.1999999285,4528,2313,3007,QuickBite Burgers,123 Woodward Ave,Detroit,48201,0,0,3238,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3238,1050,4288,0,185,1,2824,91,0,Not in SSI-CAP,193,647,0,0,624,1464,0,2750,1,0,0,848,1,0,0,0,1,47,Male,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Unemployed and looking for work,Not employed,0,0,0,0,0,0,0,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",0,6391 Willow Ct,Midland,MI,48483,Josiah,Lee,Jillian,Ruiz,28,Joan,Thomas,32,Daniel,Ruiz,14,,,,,,,,,,,,,,,,,
387,12,112,Not entitled to expedited service,0,0,561,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,650,860,No adjustment,0,Simplified reporting (exceeding 130% of income poverty guidelines),1,0,1725,111,0,921,0,1,8,112,1,281,23,0,111,861,193,1165,624,Head of unit is a citizen,No children,0,0.1999999285,1571,1133,1473,Self,,,,0,556,0,0,0,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,556,1169,1725,0,152,1,560,113,0,Not in SSI-CAP,290,167,0,0,861,1165,0,4250,1,1,1,168,1,0,1,0,0,45,Male,White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,High school graduate or GED,Not participating in E&T,"Self-employed, nonfarming",1â€“19 hours/week,0,556,0,0,1169,0,0,0,0,0,"Federal exemption, physically or mentally unfit for employment",Not an able-bodied adult without dependents (ABAWD),"Age within the range subject to time limits, but not adult without a disability in childless unit",1,4709 Willow Way,Waterford,MI,49536,Leo,Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
388,36,253,Entitled to expedited service and received benefits within Federal time frame,0,0,0,Uses higher standard and does not receive LIHEAA assistance,Not prorated,0,202,752,No adjustment,0,Other,1,0,934,0,0,921,0,0,27,281,1,281,23,0,0,753,193,946,624,Head of unit is a citizen,No children,0,0.1999999285,1123,1133,1473,Neighborhood Hardware Plus,521 Dort Hwy,Flint,48503,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,214,0,0,0,0,0,0,934,934,0,82,0,0,281,0,Not in SSI-CAP,278,0,0,0,741,934,1,4250,1,1,1,95,1,0,0,1,0,74,Male,(Hispanic or Latino) and White,Eligible member of SNAP case under review and entitled to receive benefits,US-born citizen,NA,Not participating in E&T,Not in labor force and not looking for work,Not employed,0,0,0,0,720,0,214,0,0,0,"Federal exemption, other",Not an able-bodied adult without dependents (ABAWD),Not in universe (AGEI not within the age range subject to time limits),0,8893 Maple Ave,Charlevoix,MI,48433,Ezra,Cook,,,,,,,,,,,,,,,,,,,,,,,,,,
